, 4th of(event, time)
to help(country, country)
to help(institution, country)
to host(city, event)
to host(country, event)
to include(organization, country)
to invade(man, country)
to invest in(company, country)
to ipod(product, fruit)
to join(country, body)
to join(country, institution)
to join(country, organisation)
to join(country, organization)
to know(city, company)
to know(city, engine)
to launch(company, device)
to launch(country, activity)
to lead(sport, country)
to live with(process, disease)
to live with(process, disorder)
to love(process, company)
to love(process, place)
to make(crop, food)
to make(crop, product)
to make(crop, source)
to make(factor, vitamin)
to make(food, food)
to make(food, product)
to make(mineral, protein)
to make(nutrient, protein)
to make(product, food)
to make(product, product)
to make(protein, food)
to make(substance, vitamin)
to make(vegetable, food)
to meet in(country, city)
to perform in(artist, country)
to play(activity, game)
to play(activity, sport)
to play(system, game)
to prevent(agency, site)
to prevent(drug, disease)
to prevent(drug, effect)
to prevent(drug, risk)
to prevent(material, disease)
to prevent(medication, disease)
to prevent(medication, effect)
to prevent(medication, risk)
to prevent(mineral, disease)
to prevent(nutrient, disease)
to prevent(product, disease)
to prevent(site, site)
to prevent(treatment, disease)
to prevent(vitamin, disease)
to produce(gas, gas)
to quit(drug, factor)
to quit(medication, factor)
to quit(organization, factor)
to quit(procedure, factor)
to quit(state, cause)
to quit(state, factor)
to quit(tool, factor)
to quit(treatment, factor)
to receive(country, metal)
to reduce(city, factor)
to release(country, leader)
to rent(area, town)
to rent in(area, area)
to rent in(area, city)
to rent in(area, community)
to rent in(area, place)
to rent in(area, town)
to rent in(area, village)
to rent in(band, area)
to rent in(band, city)
to rent in(band, place)
to rent in(place, area)
to rent in(place, city)
to rent in(place, place)
to rent in(place, town)
to rent in(place, village)
to rent in(product, area)
to rent in(product, city)
to rent in(product, place)
to rent in(product, town)
to rent in(service, area)
to rent in(service, place)
to rent in(service, town)
to rent in(service, village)
to rent in(state, area)
to rent in(state, city)
to rent in(state, place)
to rent in(state, town)
to rent in(state, village)
to search(engine, place)
to search(engine, tool)
to send(country, agency)
to send(country, service)
to stay in(organisation, country)
to stop(state, cause)
to stop(state, factor)
to stop(tool, factor)
to study at(award, member)
to travel to(card, country)
to treat(drug, disease)
to treat(drug, disorder)
to treat(herb, disease)
to treat(hormone, disease)
to treat(medication, disease)
to treat(medication, disorder)
to treat(treatment, disease)
to treat(treatment, disorder)
to use(process, device)
to use(process, place)
to use(process, source)
to use(process, tool)
to use(vitamin, mineral)
to visit(card, country)
to visit(leader, country)
to visit(man, country)
to visit(member, country)
to visit(metal, country)
to vote for(country, time)
to win(city, event)
to win(city, game)
to win(country, event)
to win(team, event)
to win(team, game)
to work in(card, country)
to work with(browser, technology)
top(state, state)
top with(crop, food)
top with(dish, crop)
top with(dish, food)
top with(dish, vegetable)
top with(food, crop)
top with(food, dish)
top with(food, food)
top with(food, fruit)
top with(food, ingredient)
top with(food, plant)
top with(food, product)
top with(food, source)
top with(food, vegetable)
top with(ingredient, food)
top with(product, crop)
top with(product, food)
top with(product, ingredient)
top with(product, vegetable)
top with(source, crop)
top with(source, food)
top with(source, vegetable)
top with(vegetable, crop)
top with(vegetable, food)
top with(vegetable, fruit)
top with(vegetable, ingredient)
top with(vegetable, plant)
top with(vegetable, vegetable)
toss with(dish, food)
toss with(dish, vegetable)
toss with(fish, vegetable)
toss with(food, crop)
toss with(food, food)
toss with(food, ingredient)
toss with(food, plant)
toss with(food, product)
toss with(food, vegetable)
toss with(product, food)
toss with(product, vegetable)
toss with(source, food)
toss with(source, vegetable)
toss with(vegetable, crop)
toss with(vegetable, food)
toss with(vegetable, ingredient)
toss with(vegetable, product)
toss with(vegetable, vegetable)
tour(artist, country)
tour(band, country)
tour(country, country)
tour(country, place)
tour(place, country)
tour to(country, city)
trade(team, player)
trail(state, state)
transform(member, area)
transform(work, area)
translate(man, book)
transmit(country, disease)
travel(country, city)
travel to(animal, city)
travel to(artist, country)
travel to(author, country)
travel to(city, city)
travel to(city, country)
travel to(country, city)
travel to(graduate, country)
travel to(leader, city)
travel to(leader, country)
travel to(leader, place)
travel to(leader, state)
travel to(man, city)
travel to(man, country)
travel to(man, place)
travel to(man, state)
travel to(member, city)
travel to(member, country)
travel to(member, place)
travel to(member, state)
travel to(place, city)
travel to(state, city)
travel to(state, state)
travel to(town, city)
travel to(work, country)
travel to(writer, country)
treat(drug, disease)
treat(drug, disorder)
treat(drug, factor)
treat(herb, disease)
treat(herb, disorder)
treat(medication, disorder)
treat(medication, factor)
treat(plant, disease)
treat(source, disease)
treat with(food, hormone)
treat with(site, drug)
triumph in(community, city)
triumph in(village, city)
try(browser, browser)
try(city, company)
try(city, country)
try(city, manufacturer)
tuck(procedure, procedure)
turn(vegetable, fruit)
turn into(time, time)
turn to(country, country)
turn to(time, time)
undo(factor, process)
unveil(company, device)
unveil(company, platform)
unveil(company, player)
unveil(company, product)
unveil(company, system)
unveil(company, technology)
unveil(engine, service)
unveil(fruit, device)
unveil(fruit, player)
unveil(fruit, product)
unveil(manufacturer, device)
urge(agency, country)
urge(country, country)
urge(country, place)
urge(country, state)
urge(institution, country)
urge(man, country)
urge(member, country)
urge(organization, agency)
urge(organization, country)
use(application, browser)
use(application, engine)
use(application, system)
use(application, technology)
use(application, tool)
use(browser, browser)
use(browser, engine)
use(browser, process)
use(browser, technology)
use(company, browser)
use(company, piece)
use(company, system)
use(company, technology)
use(country, agent)
use(country, crop)
use(country, plant)
use(crop, vegetable)
use(device, hormone)
use(device, technology)
use(engine, company)
use(engine, directory)
use(engine, engine)
use(engine, system)
use(engine, technology)
use(factor, drug)
use(food, food)
use(food, ingredient)
use(food, product)
use(food, source)
use(food, vegetable)
use(fruit, company)
use(fruit, fruit)
use(herb, herb)
use(ingredient, food)
use(ingredient, ingredient)
use(ingredient, product)
use(organization, piece)
use(place, device)
use(platform, browser)
use(platform, system)
use(player, player)
use(product, food)
use(product, ingredient)
use(product, product)
use(product, source)
use(provider, service)
use(provider, system)
use(provider, technology)
use(service, application)
use(service, device)
use(service, equipment)
use(service, product)
use(service, technology)
